PROLIFIC_PID,Directness (Wish) 1-5,Directness (Outcome) 1-5,Directness (Outcome Elab) 1-5,Directness (Wish) 1-5,Directness (Outcome) 1-5,Directness (Outcome Elab) 1-5,Specificity (Wish) 1-5,Specificity (Outcome) 1-5,Specificity (Outcome Elab) 1-5,Specificity (Wish) 1-5,Specificity (Outcome) 1-5,Specificity (Outcome Elab) 1-5,,,,,,,
5e27616fe837f399dc3fe42f,2,5,5,2,5,5,3,4,4,3,4,4,,,,,,,
5e2cb9b8e97bec2e4cd80874,2,3,3,2,3,3,3,4,4,3,4,4,,,,,,,
5e39678321d60316406c3723,2,3,3,2,3,3,3,3,3,3,3,3,,,,,,,
5e3c368dc004f70177a1dfcc,2,3,3,2,3,3,5,4,5,5,4,5,,,,,,,
5e51cbd4ad88cd2047eaf29d,2,1,3,2,1,3,3,1,4,3,1,4,,,,,,,
5e57535e9826c510e7e3bf42,2,1,5,2,1,5,2,3,4,2,3,4,,,,,,,
5e5d1bacac3134016c38c61f,2,1,5,2,1,5,3,1,4,3,1,4,,,,,,,
5e5fe64a8278d103d35cac54,2,2,5,2,2,5,4,4,3,4,4,3,,,,,,,
5e6011c399b03c35f69a53d8,2,3,3,2,3,3,2,3,2,2,3,2,,,,,,,
5e63155f0ce65909fda373f1,2,2,3,2,2,3,3,2,3,3,2,3,,,,,,,
5e6387b1b7d70b10675e3a26,2,2,3,2,2,3,3,2,4,3,2,4,,,,,,,
5e7ba35f8cf7da093a895c3a,2,2,N/A,2,2,N/A,2,3,N/A,2,3,N/A,,,,,,,
5e7cb12fec4f3d0275df62c4,2,2,5,2,2,5,2,2,3,2,2,3,,,,,,,
5e7d2e589a82110e3e143df2,2,2,5,2,2,5,1,3,2,1,3,2,,,,,,,
5e827e743fc2bd0f3dcfc34d,2,2,2,2,2,2,2,2,1,2,2,1,,,,,,,
5e83d37956541b11d8a8734a,5,5,5,5,5,5,2,4,4,2,4,4,,,,,,,
5e84aa50dd580b03df738ac1,2,2,5,2,2,5,2,3,4,2,3,4,,,,,,,
5e8804c63ac81448c5ab0fa5,2,5,5,2,5,5,3,3,4,3,3,4,,,,,,,
5e8cd8011a88ad08f181eb96,3,3,5,3,3,5,4,3,4,4,3,4,,,,,,,
5e930c9f49a5ba63353b0e85,5,2,5,5,2,5,4,3,3,4,3,3,,,,,,,
5e946b486914d12ae3471e4a,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
5e960f3a4998da08b0c0290c,5,5,3,5,5,3,4,4,3,4,4,3,,,,,,,
5e98bc8a81343c0c36dc33ff,2,2,3,2,2,3,2,2,4,2,2,4,,,,,,,
5e991aaac7bc1615ea5b3eb8,2,1,5,2,1,5,2,1,4,2,1,4,,,,,,,
5ea0dd9a2b67cb0dfd30f275,5,5,1,5,5,1,2,4,2,2,4,2,,,,,,,
5eb477adfafd942c92a1e302,5,5,5,5,5,5,2,3,3,2,3,3,,,,,,,
5eb4b5001cabb13244bd4836,3,3,5,3,3,5,3,3,4,3,3,4,,,,,,,
5eb5e3d2ea17ff4c2acdb19e,2,5,5,2,5,5,3,3,3,3,3,3,,,,,,,
5eb6df62c23fbf5e87db6b4b,5,2,5,5,2,5,4,3,4,4,3,4,,,,,,,
5ebadbc66befc107469d3c2f,2,5,5,2,5,5,3,3,4,3,3,4,,,,,,,
5ebb046b569ac10bafd80daf,2,1,3,2,1,3,2,1,3,2,1,3,,,,,,,
5ebbf3d4af2b6401d3eeee62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
5ebc847ccbdc280d1edc1a40,2,5,3,2,5,3,2,3,4,2,3,4,,,,,,,
5ebdd09e4b759c113cc0e1b7,3,3,3,3,3,3,3,3,4,3,3,4,,,,,,,
5ec51785bfb2ff453b58a8ed,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,,,,,,,
5ecc07204131bd7c4c6b4b79,1,1,2,1,1,2,2,1,2,2,1,2,,,,,,,
5eccfd5e040498000acbab5c,5,3,5,5,3,5,5,5,5,5,5,5,,,,,,,
5ed53833cb34a1098e5e2bce,2,2,3,2,2,3,3,3,5,3,3,5,,,,,,,
5ed802f6115bb42fa91ea35e,2,1,5,2,1,5,3,1,5,3,1,5,,,,,,,
5ed831c573beeb32b5328660,2,2,2,2,2,2,3,2,4,3,2,4,,,,,,,
5edbdb8d19fa7f8717e17104,1,2,1,1,2,1,3,3,1,3,3,1,,,,,,,
5edce23067f8fc033ade7531,3,5,5,3,5,5,3,3,4,3,3,4,,,,,,,
5ede844c1b8bce0f4fe4e81c,1,2,2,1,2,2,3,3,3,3,3,3,,,,,,,
